| end of split   5 / 20 | epoch   5 | time:  3.02s | valid loss  1.83 | valid ppl     6.24 | learning rate 5.0000
| end of split   6 / 20 | epoch   5 | time:  3.02s | valid loss  1.83 | valid ppl     6.25 | learning rate 5.0000
| end of split   7 / 20 | epoch   5 | time:  3.05s | valid loss  1.83 | valid ppl     6.22 | learning rate 5.0000
| end of split   8 / 20 | epoch   5 | time:  3.07s | valid loss  1.81 | valid ppl     6.12 | learning rate 5.0000
| end of split   9 / 20 | epoch   5 | time:  2.93s | valid loss  1.82 | valid ppl     6.18 | learning rate 5.0000
| end of split  10 / 20 | epoch   5 | time:  3.10s | valid loss  1.82 | valid ppl     6.19 | learning rate 5.0000
| end of split  11 / 20 | epoch   5 | time:  3.02s | valid loss  1.82 | valid ppl     6.16 | learning rate 5.0000
| end of split  12 / 20 | epoch   5 | time:  3.17s | valid loss  1.84 | valid ppl     6.31 | learning rate 5.0000
| end of split  13 / 20 | epoch   5 | time:  3.06s | valid loss  1.79 | valid ppl     5.99 | learning rate 5.0000
| end of split  14 / 20 | epoch   5 | time:  3.09s | valid loss  1.83 | valid ppl     6.23 | learning rate 5.0000
| end of split  15 / 20 | epoch   5 | time:  3.04s | valid loss  1.82 | valid ppl     6.14 | learning rate 5.0000
| end of split  16 / 20 | epoch   5 | time:  2.99s | valid loss  1.83 | valid ppl     6.21 | learning rate 5.0000
| end of split  17 / 20 | epoch   5 | time:  2.90s | valid loss  1.82 | valid ppl     6.19 | learning rate 5.0000
| end of split  18 / 20 | epoch   5 | time:  3.04s | valid loss  1.83 | valid ppl     6.22 | learning rate 5.0000
| end of split  19 / 20 | epoch   5 | time:  3.06s | valid loss  1.83 | valid ppl     6.21 | learning rate 5.0000
| end of split  20 / 20 | epoch   5 | time:  2.91s | valid loss  1.80 | valid ppl     6.02 | learning rate 5.0000
| end of split   1 / 20 | epoch   6 | time:  3.22s | valid loss  1.85 | valid ppl     6.36 | learning rate 5.0000
| end of split   2 / 20 | epoch   6 | time:  3.03s | valid loss  1.83 | valid ppl     6.23 | learning rate 5.0000
| end of split   3 / 20 | epoch   6 | time:  3.01s | valid loss  1.81 | valid ppl     6.11 | learning rate 5.0000
| end of split   4 / 20 | epoch   6 | time:  3.09s | valid loss  1.81 | valid ppl     6.09 | learning rate 5.0000
| end of split   5 / 20 | epoch   6 | time:  3.06s | valid loss  1.81 | valid ppl     6.11 | learning rate 1.2500
| end of split   6 / 20 | epoch   6 | time:  3.07s | valid loss  1.81 | valid ppl     6.09 | learning rate 1.2500
| end of split   7 / 20 | epoch   6 | time:  2.97s | valid loss  1.80 | valid ppl     6.06 | learning rate 1.2500
| end of split   8 / 20 | epoch   6 | time:  3.08s | valid loss  1.81 | valid ppl     6.10 | learning rate 1.2500
| end of split   9 / 20 | epoch   6 | time:  2.98s | valid loss  1.80 | valid ppl     6.02 | learning rate 1.2500
| end of split  10 / 20 | epoch   6 | time:  3.01s | valid loss  1.79 | valid ppl     5.99 | learning rate 1.2500
| end of split  11 / 20 | epoch   6 | time:  3.07s | valid loss  1.79 | valid ppl     5.96 | learning rate 1.2500
| end of split  12 / 20 | epoch   6 | time:  3.11s | valid loss  1.78 | valid ppl     5.95 | learning rate 1.2500
| end of split  13 / 20 | epoch   6 | time:  3.07s | valid loss  1.78 | valid ppl     5.95 | learning rate 1.2500
| end of split  14 / 20 | epoch   6 | time:  2.98s | valid loss  1.78 | valid ppl     5.92 | learning rate 1.2500
| end of split  15 / 20 | epoch   6 | time:  3.03s | valid loss  1.78 | valid ppl     5.95 | learning rate 1.2500
| end of split  16 / 20 | epoch   6 | time:  3.04s | valid loss  1.79 | valid ppl     5.97 | learning rate 1.2500
| end of split  17 / 20 | epoch   6 | time:  3.05s | valid loss  1.78 | valid ppl     5.95 | learning rate 1.2500
| end of split  18 / 20 | epoch   6 | time:  3.00s | valid loss  1.79 | valid ppl     5.97 | learning rate 1.2500
| end of split  19 / 20 | epoch   6 | time:  3.05s | valid loss  1.79 | valid ppl     5.97 | learning rate 1.2500
| end of split  20 / 20 | epoch   6 | time:  3.03s | valid loss  1.79 | valid ppl     5.98 | learning rate 1.2500
| end of split   1 / 20 | epoch   7 | time:  3.21s | valid loss  1.78 | valid ppl     5.94 | learning rate 1.2500
| end of split   2 / 20 | epoch   7 | time:  3.14s | valid loss  1.78 | valid ppl     5.94 | learning rate 1.2500
| end of split   3 / 20 | epoch   7 | time:  3.11s | valid loss  1.78 | valid ppl     5.93 | learning rate 1.2500
| end of split   4 / 20 | epoch   7 | time:  3.13s | valid loss  1.79 | valid ppl     5.98 | learning rate 1.2500
| end of split   5 / 20 | epoch   7 | time:  3.11s | valid loss  1.79 | valid ppl     5.99 | learning rate 1.2500
| end of split   6 / 20 | epoch   7 | time:  3.06s | valid loss  1.79 | valid ppl     5.99 | learning rate 0.3125
| end of split   7 / 20 | epoch   7 | time:  3.18s | valid loss  1.79 | valid ppl     5.98 | learning rate 0.3125
| end of split   8 / 20 | epoch   7 | time:  3.11s | valid loss  1.79 | valid ppl     5.97 | learning rate 0.3125
| end of split   9 / 20 | epoch   7 | time:  3.13s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.3125
| end of split  10 / 20 | epoch   7 | time:  3.12s | valid loss  1.79 | valid ppl     5.97 | learning rate 0.3125
| end of split  11 / 20 | epoch   7 | time:  3.12s | valid loss  1.79 | valid ppl     5.97 | learning rate 0.3125
| end of split  12 / 20 | epoch   7 | time:  3.15s | valid loss  1.79 | valid ppl     5.98 | learning rate 0.3125
| end of split  13 / 20 | epoch   7 | time:  3.10s | valid loss  1.79 | valid ppl     5.98 | learning rate 0.3125
| end of split  14 / 20 | epoch   7 | time:  3.05s | valid loss  1.79 | valid ppl     5.97 | learning rate 0.3125
| end of split  15 / 20 | epoch   7 | time:  3.06s | valid loss  1.79 | valid ppl     5.96 | learning rate 0.3125
| end of split  16 / 20 | epoch   7 | time:  3.05s | valid loss  1.79 | valid ppl     5.96 | learning rate 0.3125
| end of split  17 / 20 | epoch   7 | time:  3.04s | valid loss  1.79 | valid ppl     5.97 | learning rate 0.0781
| end of split  18 / 20 | epoch   7 | time:  3.00s | valid loss  1.79 | valid ppl     5.96 | learning rate 0.0781
| end of split  19 / 20 | epoch   7 | time:  3.02s | valid loss  1.79 | valid ppl     5.96 | learning rate 0.0781
| end of split  20 / 20 | epoch   7 | time:  2.95s | valid loss  1.79 | valid ppl     5.96 | learning rate 0.0781
| end of split   1 / 20 | epoch   8 | time:  3.23s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0781
| end of split   2 / 20 | epoch   8 | time:  3.05s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0781
| end of split   3 / 20 | epoch   8 | time:  3.08s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0781
| end of split   4 / 20 | epoch   8 | time:  3.00s | valid loss  1.78 | valid ppl     5.95 | learning rate 0.0781
| end of split   5 / 20 | epoch   8 | time:  3.10s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0781
| end of split   6 / 20 | epoch   8 | time:  3.01s | valid loss  1.78 | valid ppl     5.95 | learning rate 0.0781
| end of split   7 / 20 | epoch   8 | time:  3.06s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0781
| end of split   8 / 20 | epoch   8 | time:  3.06s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0195
| end of split   9 / 20 | epoch   8 | time:  3.03s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0195
| end of split  10 / 20 | epoch   8 | time:  3.12s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0195
| end of split  11 / 20 | epoch   8 | time:  3.08s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0195
| end of split  12 / 20 | epoch   8 | time:  3.10s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0195
| end of split  13 / 20 | epoch   8 | time:  3.08s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0195
| end of split  14 / 20 | epoch   8 | time:  3.11s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0195
| end of split  15 / 20 | epoch   8 | time:  3.12s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0195
| end of split  16 / 20 | epoch   8 | time:  3.15s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0195
| end of split  17 / 20 | epoch   8 | time:  3.05s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0195
| end of split  18 / 20 | epoch   8 | time:  2.99s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0195
| end of split  19 / 20 | epoch   8 | time:  3.02s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0049
| end of split  20 / 20 | epoch   8 | time:  2.98s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0049
| end of split   1 / 20 | epoch   9 | time:  3.21s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0049
| end of split   2 / 20 | epoch   9 | time:  3.02s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0049
| end of split   3 / 20 | epoch   9 | time:  3.01s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0049
| end of split   4 / 20 | epoch   9 | time:  3.08s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0049
| end of split   5 / 20 | epoch   9 | time:  3.14s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0049
| end of split   6 / 20 | epoch   9 | time:  3.04s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0049
| end of split   7 / 20 | epoch   9 | time:  3.00s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0049
| end of split   8 / 20 | epoch   9 | time:  3.06s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0049
| end of split   9 / 20 | epoch   9 | time:  3.13s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0049
| end of split  10 / 20 | epoch   9 | time:  3.10s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0012
| end of split  11 / 20 | epoch   9 | time:  3.08s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0012
| end of split  12 / 20 | epoch   9 | time:  3.09s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0012
| end of split  13 / 20 | epoch   9 | time:  3.08s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0012
| end of split  14 / 20 | epoch   9 | time:  3.01s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0012
| end of split  15 / 20 | epoch   9 | time:  3.07s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0012
| end of split  16 / 20 | epoch   9 | time:  3.04s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0012
| end of split  17 / 20 | epoch   9 | time:  2.94s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0012
| end of split  18 / 20 | epoch   9 | time:  2.99s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0012
| end of split  19 / 20 | epoch   9 | time:  2.96s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0012
| end of split  20 / 20 | epoch   9 | time:  3.01s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0012
| end of split   1 / 20 | epoch  10 | time:  3.18s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0003
| end of split   2 / 20 | epoch  10 | time:  3.03s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0003
| end of split   3 / 20 | epoch  10 | time:  3.03s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0003
| end of split   4 / 20 | epoch  10 | time:  3.05s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0003
| end of split   5 / 20 | epoch  10 | time:  3.08s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0003
| end of split   6 / 20 | epoch  10 | time:  3.11s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0003
| end of split   7 / 20 | epoch  10 | time:  3.08s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0003
| end of split   8 / 20 | epoch  10 | time:  3.01s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0003
| end of split   9 / 20 | epoch  10 | time:  3.01s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0003
| end of split  10 / 20 | epoch  10 | time:  3.08s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0003
| end of split  11 / 20 | epoch  10 | time:  3.07s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0003
| end of split  12 / 20 | epoch  10 | time:  3.12s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0001
| end of split  13 / 20 | epoch  10 | time:  3.04s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0001
| end of split  14 / 20 | epoch  10 | time:  3.03s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0001
| end of split  15 / 20 | epoch  10 | time:  3.09s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0001
| end of split  16 / 20 | epoch  10 | time:  3.06s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0001
| end of split  17 / 20 | epoch  10 | time:  2.95s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0001
| end of split  18 / 20 | epoch  10 | time:  3.04s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0001
| end of split  19 / 20 | epoch  10 | time:  3.00s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0001
| end of split  20 / 20 | epoch  10 | time:  3.09s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0001
| end of split   1 / 20 | epoch  11 | time:  3.23s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0001
| end of split   2 / 20 | epoch  11 | time:  3.05s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0001
| end of split   3 / 20 | epoch  11 | time:  3.09s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split   4 / 20 | epoch  11 | time:  3.12s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split   5 / 20 | epoch  11 | time:  3.06s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split   6 / 20 | epoch  11 | time:  3.01s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split   7 / 20 | epoch  11 | time:  3.10s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split   8 / 20 | epoch  11 | time:  3.04s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split   9 / 20 | epoch  11 | time:  3.13s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split  10 / 20 | epoch  11 | time:  3.11s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split  11 / 20 | epoch  11 | time:  3.14s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split  12 / 20 | epoch  11 | time:  3.06s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split  13 / 20 | epoch  11 | time:  3.11s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split  14 / 20 | epoch  11 | time:  3.15s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split  15 / 20 | epoch  11 | time:  3.12s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split  16 / 20 | epoch  11 | time:  2.98s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split  17 / 20 | epoch  11 | time:  3.00s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split  18 / 20 | epoch  11 | time:  3.08s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split  19 / 20 | epoch  11 | time:  3.08s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split  20 / 20 | epoch  11 | time:  3.05s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split   1 / 20 | epoch  12 | time:  3.24s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split   2 / 20 | epoch  12 | time:  3.12s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split   3 / 20 | epoch  12 | time:  3.11s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
